WWTP name,Latitude,Longitude,Capacity (p.e),N kg/per year,country,province,nuts2_id,country_code,P kg/per year
SAULTAIN,50.34880542,3.57774563,5833,25198.56,France,Nord-Pas de Calais,FRE1,FR,4199.76
SAULZOIR,50.24753253,3.433729086,4000,17280,France,Nord-Pas de Calais,FRE1,FR,2880
SIN-LE-NOBLE,50.36910261,3.122918901,23000,99360,France,Nord-Pas de Calais,FRE1,FR,16560
SOLESMES,50.18704115,3.48763288,13000,56160,France,Nord-Pas de Calais,FRE1,FR,9360
SOLRE-LE-CHATEAU,50.18039729,4.082425973,2700,11664,France,Nord-Pas de Calais,FRE1,FR,1944
SOMAIN,50.37325829,3.293755566,24300,104976,France,Nord-Pas de Calais,FRE1,FR,17496
STEENVOORDE,50.81155209,2.58554162,5000,21600,France,Nord-Pas de Calais,FRE1,FR,3600
STEENWERCK,50.69892793,2.774586688,3500,15120,France,Nord-Pas de Calais,FRE1,FR,2520
TEMPLEUVE-TEMPLEUVE-EN-PEVELE,50.54065563,3.160985811,9333,40318.56,France,Nord-Pas de Calais,FRE1,FR,6719.76
THUMERIES,50.48764805,3.070573462,9917,42841.44,France,Nord-Pas de Calais,FRE1,FR,7140.24
TOURCOING-NEUVILLE-EN-FERRAIN,50.7554275,3.14307544,76667,331201.44,France,Nord-Pas de Calais,FRE1,FR,55200.24
TRELON,50.0698399,4.100096869,5400,23328,France,Nord-Pas de Calais,FRE1,FR,3888
TRITH-SAINT-LEGER,50.32582251,3.490289878,26600,114912,France,Nord-Pas de Calais,FRE1,FR,19152
VALENCIENNES,50.36988107,3.532899238,63000,272160,France,Nord-Pas de Calais,FRE1,FR,45360
VENDEGIES-SUR-ECAILLON-SOMMAING-SUR-ECAILLON,50.26377913,3.488063972,4500,19440,France,Nord-Pas de Calais,FRE1,FR,3240
VILLERS-OUTREAUX,50.03767078,3.310921737,3150,13608,France,Nord-Pas de Calais,FRE1,FR,2268
VILLERS-SIRE-NICOLE,50.34764831,4.026485336,3500,15120,France,Nord-Pas de Calais,FRE1,FR,2520
WALLERS,50.38253383,3.381773281,17500,75600,France,Nord-Pas de Calais,FRE1,FR,12600
WATTEN,50.84461828,2.212426742,4500,19440,France,Nord-Pas de Calais,FRE1,FR,3240
WORMHOUT-NOUVELLE,50.8936026,2.471017866,9967,43057.44,France,Nord-Pas de Calais,FRE1,FR,7176.24
AIRE SUR LA LYS,50.64640913,2.40231636,17766,76749.12,France,Nord-Pas de Calais,FRE1,FR,12791.52
ARRAS (ST LAURENT BLANGY),50.29558331,2.814593052,125833,543598.56,France,Nord-Pas de Calais,FRE1,FR,90599.76
AUBIGNY EN ARTOIS SE,50.35140884,2.598747108,2500,10800,France,Nord-Pas de Calais,FRE1,FR,1800
LAPUGNOY,50.51179378,2.530365813,30000,129600,France,Nord-Pas de Calais,FRE1,FR,21600
AUCHY-HAISNES SE,50.5196422,2.790087692,8550,36936,France,Nord-Pas de Calais,FRE1,FR,6156
AUDRUICQ,50.881076,2.085681177,3600,15552,France,Nord-Pas de Calais,FRE1,FR,2592
AUXI LE CHATEAU SE,50.23605869,2.10181187,3600,15552,France,Picardie,FRE2,FR,2592
AVESNES LE COMTE SE,50.27500517,2.542945715,2000,8640,France,Nord-Pas de Calais,FRE1,FR,1440
