location,name,country,province,kg_n_per_year,passengers,year,country_code,name_en,kg_p_per_year
"51.38916667, 21.21361111",Warsaw Radom Airport,Poland,Mazowiecki regionalny,79.34696,103048,,PL,Warsaw Radom Airport,7.934696
"41.96111111, 21.62694444",Skopje International Airport,MK,Severna Makedonija,2220.20106,2883378,,MK,Skopje International Airport,222.020106
"57.09277778, 9.849166666",Aalborg Airport,Denmark,Nordjylland,1095.72848,1423024,,DK,Aalborg Airport,109.572848
"51.200278, 2.870278",Ostend-Bruges International Airport,Belgium,Prov. West-Vlaanderen,297.51799,386387,,BE,Ostend-Bruges International Airport,29.751799
"41.296944, 2.078333",Josep Tarradellas Airport Barcelona-El Prat,Spain,Cataluña,38430.34888,49909544,,ES,Josep Tarradellas Airport Barcelona-El Prat,3843.034888
"47.98388889, 21.69222222",Nyíregyháza Airport,Hungary,Észak-Alföld,11.33286,14718,,HU,Nyíregyháza Airport,1.133286
"47.79444444, 13.00333333",Salzburg Airport,Austria,Salzburg,1243.24277,1614601,,AT,Salzburg Airport,124.324277
"41.13885556, 16.76059444",Bari Karol Wojtyła Airport,Italy,Puglia,4975.10783,6461179,,IT,Bari Karol Wojtyła Airport,497.510783
"42.40472222, 18.72333333",Tivat Airport,ME,Crna Gora,653.10476,848188,,ME,Tivat Airport,65.310476
"50.47416667, 19.08",Katowice International Airport,Poland,Śląskie,4078.88019,5297247,,PL,Katowice International Airport,407.888019
"66.56166667, 25.83083333",Rovaniemi Airport,Finland,Pohjois- ja Itä-Suomi,566.01006,735078,,FI,Rovaniemi Airport,56.601006
"48.723333, 2.379444",Orly Airport,France,Ile-de-France,24866.50859,32294167,,FR,Orly Airport,2486.650859
"39.551675, 2.738808333",Palma de Mallorca Airport,Spain,Illes Balears,23951.60999,31105987,,ES,Palma de Mallorca Airport,2395.160999
"46.99305556, 15.43916667",Graz Airport,Austria,Steiermark,564.52242,733146,,AT,Graz Airport,56.452242
"47.48888889, 21.61527778",Debrecen International Airport,Hungary,Észak-Alföld,235.69315,306095,,HU,Debrecen International Airport,23.569315
"53.8825, 28.0325",Minsk National Airport,,,1923.17587,2497631,,,Minsk National Airport,192.317587
"42.22916667, -8.6275",Vigo-Peinador Airport,Spain,Galicia,869.00506,1128578,,ES,Vigo-Peinador Airport,86.900506
"41.41472222, 19.72055556",Tirana International Airport Nënë Tereza,AL,Qender,5588.37818,7257634,,AL,Tirana International Airport Nënë Tereza,558.837818
"47.62444444, 17.81361111",Győr-Pér International Airport,Hungary,Nyugat-Dunántúl,5.24139,6807,,HU,Győr-Pér International Airport,0.524139
"43.09540709, 12.50280403",Perugia San Francesco d'Assisi,Italy,Umbria,410.00498,532474,,IT,Perugia San Francesco d'Assisi,41.000498
"51.72194444, 19.39805556",Łódź Władysław Reymont Airport,Poland,Łódzkie,274.79606,356878,,PL,Łódź Władysław Reymont Airport,27.479606
"51.14722222, -0.190277777",London Gatwick Airport,,,31492.23,40899000,,,London Gatwick Airport,3149.223
"39.25146944, 9.054283333",Cagliari Elmas Airport,Italy,Sardegna,3731.42,4846000,,IT,Cagliari Elmas Airport,373.142
"40.6575, 17.94694444",Brindisi – Salento Airport,Italy,Puglia,2439.96522,3168786,,IT,Brindisi – Salento Airport,243.996522
"42.43722222, 14.18722222",Abruzzo Airport,Italy,Abruzzo,671.97977,872701,,IT,Abruzzo Airport,67.197977
"49.435, -2.601944444",Guernsey Airport,,,536.70617,697021,,,Guernsey Airport,53.670617
"41.43388889, 15.53583333","Foggia ""Gino Lisa"" Airport",Italy,Puglia,37.70844,48972,,IT,"Foggia ""Gino Lisa"" Airport",3.770844
"63.194445, 14.500278",Åre Östersund Airport,Sweden,Mellersta Norrland,17.5098,22740,,SE,Åre Östersund Airport,1.75098
"39.0925, -28.02861111",Graciosa Airport,,,2.96989,3857,,,Graciosa Airport,0.296989
"38.52, -28.71638889",Horta Airport,,,10.79848,14024,,,Horta Airport,1.079848
"62.0636, -7.2772",Vágar Airport,,,17.22721,22373,,,Vágar Airport,1.722721
"63.793055, 20.28",Umeå Airport,Sweden,Övre Norrland,40.70913,52869,,SE,Umeå Airport,4.070913
"39.67083333, -31.11277778",Corvo Airport,Portugal,Região Autónoma dos Açores,0.41811,543,,PT,Corvo Airport,0.041811
"39.45910263, -31.13110542",Flores Airport,,,2.16601,2813,,,Flores Airport,0.216601
"59.35444444, 17.93972222",Stockholm Bromma Airport,Sweden,Stockholm,77.54362,100706,,SE,Stockholm Bromma Airport,7.754362
"55.53, 13.37138889",Malmö Airport,Sweden,Sydsverige,74.93871,97323,,SE,Malmö Airport,7.493871
"37.01444444, -7.965833333",Faro Airport,,,229.88427,298551,,,Faro Airport,22.988427
"33.07108688, -16.34954834",Porto Santo Airport,Portugal,Região Autónoma da Madeira,6.73134,8742,,PT,Porto Santo Airport,0.673134
"56.26666667, 15.265",Ronneby Airport,Sweden,Sydsverige,7.31808,9504,,SE,Ronneby Airport,0.731808
"57.66277778, 18.34611111",Visby Airport,Sweden,Småland med öarna,12.97758,16854,,SE,Visby Airport,1.297758
"38.66333333, -28.17027778",São Jorge Airport,,,4.38207,5691,,,São Jorge Airport,0.438207
"38.774167, -9.134167",Humberto Delgado Airport,Portugal,Grande Lisboa,1768.65766,2296958,,PT,Humberto Delgado Airport,176.865766
"37.74194444, -25.69777778",João Paulo II Airport,Portugal,Região Autónoma dos Açores,101.84251,132263,,PT,João Paulo II Airport,10.184251
"57.66, 12.29111111",Gothenburg-Landvetter Airport,Sweden,Västsverige,260.48715,338295,,SE,Gothenburg-Landvetter Airport,26.048715
"41.23555556, -8.678055555",Francisco de Sá Carneiro Airport,Portugal,Norte,753.44577,978501,,PT,Francisco de Sá Carneiro Airport,75.344577
"67.82138889, 20.33555556",Kiruna Airport,Sweden,Övre Norrland,16.98081,22053,,SE,Kiruna Airport,1.698081
"32.69416667, -16.77805556",Madeira Cristiano-Ronaldo Airport,,,244.81149,317937,,,Madeira Cristiano-Ronaldo Airport,24.481149
"59.65194444, 17.91861111",Stockholm Arlanda Airport,Sweden,Stockholm,1167.06744,1515672,,SE,Stockholm Arlanda Airport,116.706744
"38.55444444, -28.44138889",Pico Airport,,,5.69569,7397,,,Pico Airport,0.569569
"65.54361111, 22.12194444",Luleå/Kallax Airport,Sweden,Övre Norrland,68.76254,89302,,SE,Luleå/Kallax Airport,6.876254
