WWTP name,Latitude,Longitude,Capacity (p.e),N kg/per year,country,province,nuts2_id,country_code,P kg/per year
KASTORIA,40.47879477,21.30538233,50000,216000,Greece,Western Macedonia,EL53,Greece,36000
KATERINI,40.22256873,22.53618618,130000,561600,Greece,Central Macedonia,EL52,Greece,93600
KATO ACHAIA,38.14834027,21.56929473,20000,86400,Greece,Western Greece,EL63,Greece,14400
KATO GOUVES,35.317187,25.3174557,9000,38880,Greece,Crete,EL43,Greece,6480
KAVALA,40.94431767,24.45058159,96000,414720,Greece,"Aνατολική Μακεδονία, Θράκη",EL51,Greece,69120
KERATEA,37.80291708,24.00685891,12500,54000,Greece,Aττική,EL30,Greece,9000
KERKYRA,39.63198872,19.88819848,72916,314997.12,Greece,Ionian Islands,EL62,Greece,52499.52
KIATO,37.98763434,22.7546524,23015,99424.8,Greece,Peloponnese,EL65,Greece,16570.8
KILKIS,40.98013341,22.88941799,26000,112320,Greece,Central Macedonia,EL52,Greece,18720
KISSAMOS,35.48974725,23.67926597,10000,43200,Greece,Crete,EL43,Greece,7200
KOKKARI,37.7730418,26.90127334,7500,32400,Greece,North Aegean,EL41,Greece,5400
KOLINDROS,40.47252189,22.50989251,8300,35856,Greece,Central Macedonia,EL52,Greece,5976
KOMOTINI,41.10571234,25.37221074,79500,343440,Greece,"Aνατολική Μακεδονία, Θράκη",EL51,Greece,57240
KORINOS,40.3258824,22.60548635,20000,86400,Greece,Central Macedonia,EL52,Greece,14400
KORINTHOS-LOYTRAKI,37.93663725,22.97766357,90000,388800,Greece,Peloponnese,EL65,Greece,64800
KOUFALIA,40.7617467,22.59792084,8124,35095.68,Greece,Central Macedonia,EL52,Greece,5849.28
KOZANI,40.2443592,21.8060187,60000,259200,Greece,Western Macedonia,EL53,Greece,43200
KRANIDI,37.39484466,23.15288833,10000,43200,Greece,Peloponnese,EL65,Greece,7200
KRESTENA,37.5918621,21.6026931,9834,42482.88,Greece,Western Greece,EL63,Greece,7080.48
KROUSSONAS,35.236997,24.98956,3500,15120,Greece,Crete,EL43,Greece,2520
KRYA VRYSSI,40.67692991,22.30052601,7500,32400,Greece,Central Macedonia,EL52,Greece,5400
KYMI,38.65953251,24.09760057,15000,64800,Greece,Central Greece,EL64,Greece,10800
KYMINA,40.59538,22.64787,8000,34560,Greece,Central Macedonia,EL52,Greece,5760
