name,name_en,lat,lon,kg_n_per_year,country_code,country,province,workers,liters,__type,kg_p_per_year
way/943354907,way/943354907,47.47413305,18.9863455,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/943521380,way/943521380,47.4627158067131,18.9906507779189,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/947913499,way/947913499,47.4749396743968,19.0181904520047,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/972632573,way/972632573,47.4336471973471,19.0096283355189,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/975376875,way/975376875,47.5340889535028,19.0855898991706,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/982037103,way/982037103,47.587595633391,19.11878449306,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/999048530,way/999048530,47.5240029994046,19.1199961205971,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1037430975,way/1037430975,47.4822037,18.97597345,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1037430976,way/1037430976,47.4821126,18.9763546,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1051983141,way/1051983141,47.5229729318664,19.0241674481967,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1052497620,way/1052497620,47.536045,18.9842842,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1082157187,way/1082157187,47.583471379974,19.0021921025152,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1082157188,way/1082157188,47.5831721713141,19.0025650591185,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1097078955,way/1097078955,47.4375663207548,19.030215649408,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1098367265,way/1098367265,47.4185921928525,19.0007548809962,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1117995315,way/1117995315,47.488586652256,19.0741969495378,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1118755059,way/1118755059,47.5356185259362,19.0278528919364,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1124655689,way/1124655689,47.5095879313091,18.9741536728508,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1124655690,way/1124655690,47.5096298317147,18.9737681725006,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1125418949,way/1125418949,47.5150097813026,19.0338447654109,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1127749666,way/1127749666,47.51321954306,18.9798039310485,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1127749668,way/1127749668,47.5125540393186,18.9783403406882,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1134242304,way/1134242304,47.5601722334229,19.0031947483259,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1134242305,way/1134242305,47.560341,19.0034549,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1134242306,way/1134242306,47.5604908,19.0037452,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1134250289,way/1134250289,47.5593342476173,19.0056856344358,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1135195279,way/1135195279,47.5630824166723,19.0075196039429,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1135200436,way/1135200436,47.5655063194926,19.0121861747336,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1135900767,way/1135900767,47.482544371267,18.9870296127034,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1135900769,way/1135900769,47.4828181774998,18.98569641976,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1135900770,way/1135900770,47.4828490463323,18.9859998177607,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1135900771,way/1135900771,47.4835198799923,18.9871823075083,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1150691108,way/1150691108,47.5303795222394,19.0780641651639,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1156710767,way/1156710767,47.5243052505914,19.000311282714,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1163863791,way/1163863791,47.4653803454984,19.0571566212563,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1163868528,way/1163868528,47.4314290832135,19.0434981922041,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1163868530,way/1163868530,47.4512913119634,19.0479171865815,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1163874978,way/1163874978,47.445936663086,18.9940383519946,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1163874979,way/1163874979,47.4458964405739,18.9943849302708,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1171450073,way/1171450073,47.40979815,18.9934082,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1176829242,way/1176829242,47.5774515141975,19.0246841752068,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1181163376,way/1181163376,47.473073766742,18.9741640421511,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1181169303,way/1181169303,47.4787877016145,18.9777159711429,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1181170461,way/1181170461,47.479926172554,18.9803828519318,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1181282669,way/1181282669,47.5707366012509,18.9339682673414,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1181893353,way/1181893353,47.4644585038743,19.003676377643,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1185203655,way/1185203655,47.4332537027886,19.0094197291914,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1185565789,way/1185565789,47.4277879,19.0309469,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1194732392,way/1194732392,47.4786575852515,19.0072878586961,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1198923543,way/1198923543,47.5472959265006,19.0457804708723,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1198923544,way/1198923544,47.5470270997891,19.0462199395422,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1198923545,way/1198923545,47.5465497919203,19.0459862672048,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1198923546,way/1198923546,47.5470042557027,19.0469239635859,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1198923547,way/1198923547,47.5466195515224,19.0467560939072,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1201056476,way/1201056476,47.5778422714261,19.0597624274465,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1201056477,way/1201056477,47.577821952204,19.0598601988331,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1201056478,way/1201056478,47.5781194740323,19.0599478534493,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1201056479,way/1201056479,47.5780849685722,19.0600364543696,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1209137260,way/1209137260,47.42995355,19.17188335,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1231750695,way/1231750695,47.5142671976094,19.0189408156125,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1232246531,way/1232246531,47.5146928535743,19.1193400121395,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1233831606,way/1233831606,47.5168681983407,19.0144911730494,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1233837269,way/1233837269,47.5351740308223,19.0157802655925,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1233837488,way/1233837488,47.5389321447364,19.0190403515785,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1234895137,way/1234895137,47.5293506900952,18.9992312713404,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1238788628,way/1238788628,47.4964949089936,18.9860476077269,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1238788629,way/1238788629,47.4973077430946,18.9863400207138,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1238788630,way/1238788630,47.4977648462528,18.9862380462811,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1238788631,way/1238788631,47.4967279264051,18.987274825003,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1238788632,way/1238788632,47.49698339198,18.9878943791045,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1238788634,way/1238788634,47.4974187224826,18.9877211595391,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1239463328,way/1239463328,47.5303892831837,19.0368069003674,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1240086628,way/1240086628,47.4024360326457,19.0001351571537,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1241933260,way/1241933260,47.58253585,19.01318765,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1241933261,way/1241933261,47.5824176428625,19.013399969571,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1241933262,way/1241933262,47.5826701650252,19.0128773759864,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
