location,name,country,province,kg_n_per_year,capacity,country_code,name_en,kg_p_per_year
"52.475702777, -1.868188888",St Andrew's,,,1135.0,30016.0,,St Andrew's,87.8268
"54.578333333, -1.216944444",Riverside Stadium,,,1313.0,34742.0,,Riverside Stadium,101.655
"52.448056, -1.495556",Ricoh Arena,,,1233.0,32609.0,,Ricoh Arena,95.4139
"45.460749, 4.390171",Stade Geoffroy-Guichard,France,Rhône-Alpes,1586.0,41965.0,FR,Stade Geoffroy-Guichard,161.565
"51.472778, -3.203056",Cardiff City Stadium,,,1257.0,33260.0,,Cardiff City Stadium,97.3188
"53.804722, -3.048056",Bloomfield Road,,,655.0,17338.0,,Bloomfield Road,50.731
"53.555277777, -2.128611111",Boundary Park,,,402.0,10638.0,,Boundary Park,24.5738
"53.370277777, -1.470833333",Bramall Lane,,,1236.0,32702.0,,Bramall Lane,95.6861
"51.485833, -0.050833",The Den,,,762.0,20146.0,,The Den,58.9472
"51.560139, -0.012639",Brisbane Road,,,350.0,9271.0,,Brisbane Road,21.416
"51.487489, 0.035632",The Valley,,,1025.0,27111.0,,The Valley,79.3268
"51.428472, -0.189667",Plough Lane,,,600.0,15876.0,,Plough Lane,46.4532
"54.89556, -2.91365",Brunton Park,,,688.0,18202.0,,Brunton Park,53.2591
"51.398333333, -0.085555555",Selhurst Park,,,992.0,26255.0,,Selhurst Park,76.8221
"48.10743, -1.71282",Roazhon Park,France,Bretagne,1177.0,31127.0,FR,Roazhon Park,91.0776
"53.552222, -1.4675",Oakwell,,,870.0,23009.0,,Oakwell,67.3243
"51.9234, 0.897703",Colchester Community Stadium,,,382.0,10105.0,,Colchester Community Stadium,23.3425
"53.772222222, -2.688055555",Deepdale,,,926.0,24500.0,,Deepdale,71.687
"50.414609, 4.453787",Stade du Pays de Charleroi,Belgium,Prov. Hainaut,563.0,14891.0,BE,Stade du Pays de Charleroi,34.3982
"52.564694, -0.240389",London Road Stadium,,,579.0,15315.0,,London Road Stadium,44.8117
"52.9425, -1.137222",Meadow Lane,,,765.0,20229.0,,Meadow Lane,59.1901
"53.051944, -3.003611",Racecourse Ground,,,504.0,13341.0,,Racecourse Ground,30.8177
"53.509722, -1.113889",Keepmoat Stadium,,,576.0,15231.0,,Keepmoat Stadium,44.5659
"48.696, 6.21222",Stade Marcel Picot,France,Lorraine,759.0,20087.0,FR,Stade Marcel Picot,58.7746
"47.51238, 6.81116",Stade Auguste Bonal,France,Franche-Comté,757.0,20025.0,FR,Stade Auguste Bonal,58.5932
"-12.055694, -76.935972",Estadio Monumental U,,,3028.0,80093.0,,Estadio Monumental U,400.865
