WWTP name,Latitude,Longitude,Capacity (p.e),N kg/per year,country,province,nuts2_id,country_code
Hetes - Szennyviztisztito Telep,46.415336,17.700282,2000,8760.0,Hungary,Dél-Dunántúl,HU23,Hungary
Hetvehely - Szennyviztisztito Telep,46.123626,18.028876,725,3175.5,Hungary,Dél-Dunántúl,HU23,Hungary
Heves - Szennyviztisztito Telep,47.581815,20.283845,10812,47356.56,Hungary,Észak-Magyarország,HU31,Hungary
Hidasnemeti - Szennyviztisztito Telep,48.494658,21.219306,2139,9368.82,Hungary,Észak-Magyarország,HU31,Hungary
Himeshaza - Szennyviztisztito Telep,46.085909,18.585161,3708,16241.04,Hungary,Dél-Dunántúl,HU23,Hungary
Hodasz - Szennyviztisztito Telep,47.903338,22.220877,2462,10783.56,Hungary,Észak-Alföld,HU32,Hungary
Hodmezovasarhely - Szennyviztisztito Telep,46.406565,20.330927,66200,289956.0,Hungary,Dél-Alföld,HU33,Hungary
Hogyesz - Szennyviztisztito Telep,46.490689,18.439398,3350,14673.0,Hungary,Dél-Dunántúl,HU23,Hungary
Hollohaza-Gyartelepi - Szennyviztisztito Telep,48.527203,21.431571,250,1095.0,Hungary,Észak-Magyarország,HU31,Hungary
Hollohaza-Lakotelepi - Szennyviztisztito Telep,48.531849,21.416833,104,455.52,Hungary,Észak-Magyarország,HU31,Hungary
Homrogd Szennyviztisztito Telep,48.278448,20.908632,1000,4380.0,Hungary,Észak-Magyarország,HU31,Hungary
Horpacs - Szennyviztisztito Telep,47.999336,19.132116,2750,12045.0,Hungary,Észak-Magyarország,HU31,Hungary
Hort - Szennyviztisztito Telep,47.689709,19.809396,1666,7297.08,Hungary,Észak-Magyarország,HU31,Hungary
Hortobagy - Szennyviztisztito Telep,47.575292,21.156029,2205,9657.9,Hungary,Észak-Alföld,HU32,Hungary
Hosszuheteny - Szennyviztisztito Telep,46.144824,18.346379,5161,22605.18,Hungary,Dél-Dunántúl,HU23,Hungary
Hosszupalyi - Szennyviztisztito Telep,47.378972,21.72351,10121,44329.98,Hungary,Észak-Alföld,HU32,Hungary
Hunyadfalva - Szennyviztisztito Telep,47.305554,20.362143,5687,24909.06,Hungary,Észak-Alföld,HU32,Hungary
Ibrany - Szennyviztisztito Telep,48.122181,21.729426,12243,53624.34,Hungary,Észak-Alföld,HU32,Hungary
Igal - Szennyviztisztito Telep,46.52015,17.941861,1600,7008.0,Hungary,Dél-Dunántúl,HU23,Hungary
Imola - Szennyviztisztito Telep,48.416375,20.558122,50,219.0,Hungary,Észak-Magyarország,HU31,Hungary
Iregszemcse - Szennyviztisztito Telep,46.684489,18.193136,2700,11826.0,Hungary,Dél-Dunántúl,HU23,Hungary
Isaszeg - Szennyviztisztito Telep,47.526936,19.369524,13333,58398.54,Hungary,Pest,HU12,Hungary
Ivanc - Szennyviztisztito Telep,46.948477,16.509263,2875,12592.5,Hungary,Nyugat-Dunántúl,HU22,Hungary
Ivancsa - Szennyviztisztito Telep,47.136595,18.830573,5200,22776.0,Hungary,Közép-Dunántúl,HU21,Hungary
Izsak - Szennyviztisztito Telep,46.817397,19.342985,12813,56120.94,Hungary,Dél-Alföld,HU33,Hungary
Jak - Szennyviztisztito Telep,47.148229,16.597115,1167,5111.46,Hungary,Nyugat-Dunántúl,HU22,Hungary
Jakabszallas - Szennyviztisztito Telep,46.764353,19.62154,2199,9631.62,Hungary,Dél-Alföld,HU33,Hungary
Janoshalma Uj - Szennyviztisztito Telep,46.285702,19.321114,9833,43068.54,Hungary,Dél-Alföld,HU33,Hungary
Janoshaza - Szennyviztisztito Telep,47.12796,17.1637,4505,19731.9,Hungary,Közép-Dunántúl,HU21,Hungary
Jaszdozsa - Szennyviztisztito Telep,47.562999,20.00063,2000,8760.0,Hungary,Észak-Alföld,HU32,Hungary
Janoshida - Szennyviztisztito Telep,47.392423,20.045214,2850,12483.0,Hungary,Észak-Alföld,HU32,Hungary
Janossomorja - Szennyviztisztito Telep,47.799847,17.173947,8750,38325.0,Hungary,Nyugat-Dunántúl,HU22,Hungary
Jasd - Szennyviztisztito Telep,47.284713,18.038022,750,3285.0,Hungary,Közép-Dunántúl,HU21,Hungary
Jaszapati - Szennyviztisztito Telep,47.463806,20.155397,19280,84446.4,Hungary,Észak-Alföld,HU32,Hungary
Jaszarokszallas - Szennyviztisztito Telep,47.628834,19.976353,14600,63948.0,Hungary,Észak-Alföld,HU32,Hungary
Jaszbereny - Szennyviztisztito Telep,47.491908,19.942765,48267,211409.46,Hungary,Észak-Alföld,HU32,Hungary
Jaszfenyszaru - Szennyviztisztito Telep,47.562448,19.711748,9803,42937.14,Hungary,Észak-Alföld,HU32,Hungary
Jaszkarajeno - Szennyviztisztito Telep,47.041367,20.098205,2707,11856.66,Hungary,Észak-Alföld,HU32,Hungary
Jaszladany - Szennyviztisztito Telep,47.366584,20.12741,4400,19272.0,Hungary,Észak-Alföld,HU32,Hungary
Jaszszentlaszlo - Szennyviztisztito Telep,46.569921,19.772072,2585,11322.3,Hungary,Dél-Alföld,HU33,Hungary
Jasztelek - Szennyviztisztito Telep,47.488408,19.985172,1720,7533.6,Hungary,Észak-Alföld,HU32,Hungary
Juta - Szennyviztisztito Telep,46.400402,17.736573,1700,7446.0,Hungary,Dél-Dunántúl,HU23,Hungary
Kaba-Cukorgyar - Szennyviztisztito Telep,47.344827,21.251039,1458,6386.04,Hungary,Észak-Alföld,HU32,Hungary
Kaba - Szennyviztisztito Telep,47.346047,21.253338,8667,37961.46,Hungary,Észak-Alföld,HU32,Hungary
Kacorlak - Szennyviztisztito Telep,46.578831,16.949918,169,740.22,Hungary,Nyugat-Dunántúl,HU22,Hungary
Kacsota - Szennyviztisztito Telep,46.039803,17.948364,293,1283.34,Hungary,Dél-Dunántúl,HU23,Hungary
Kadarkut - Szennyviztisztito Telep,46.207512,17.610972,2895,12680.1,Hungary,Dél-Dunántúl,HU23,Hungary
Kal - Szennyviztisztito Telep,47.723091,20.245884,10000,43800.0,Hungary,Észak-Magyarország,HU31,Hungary
Kallosemjen - Szennyviztisztito Telep,47.868238,21.916677,4403,19285.14,Hungary,Észak-Alföld,HU32,Hungary
Kalocsa - Szennyviztisztito Telep,46.512768,18.984753,41573,182089.74,Hungary,Dél-Alföld,HU33,Hungary
Kam - Szennyviztisztito Telep,47.110886,16.883723,472,2067.36,Hungary,Nyugat-Dunántúl,HU22,Hungary
Kanyavar - Szennyviztisztito telep,46.575802,16.676942,120,525.6,Hungary,Nyugat-Dunántúl,HU22,Hungary
Kaposmero - Szennyviztisztito Telep,46.356452,17.711846,2800,12264.0,Hungary,Dél-Dunántúl,HU23,Hungary
Kaposszekcso - Szennyviztisztito Telep,46.321797,18.148901,4017,17594.46,Hungary,Dél-Dunántúl,HU23,Hungary
Kaposvar - Szennyviztisztito Telep,46.362713,17.874002,131050,573999.0,Hungary,Dél-Dunántúl,HU23,Hungary
Kapuvar - Szennyviztisztito Telep,47.607727,17.041111,46166,202207.08,Hungary,Nyugat-Dunántúl,HU22,Hungary
Karacsond - Szennyviztisztito Telep,47.716711,20.040081,3208,14051.04,Hungary,Észak-Magyarország,HU31,Hungary
Karad - Szennyviztisztito Telep,46.679823,17.886194,4750,20805.0,Hungary,Dél-Dunántúl,HU23,Hungary
Karcag - Szennyviztisztito Telep,47.317414,20.943839,26666,116797.08,Hungary,Észak-Alföld,HU32,Hungary
Kaszaper - Szennyviztisztito Telep,46.450499,20.829569,2250,9855.0,Hungary,Dél-Alföld,HU33,Hungary
Kelebia - Szennyviztisztito Telep,46.212796,19.599039,2865,12548.7,Hungary,Dél-Alföld,HU33,Hungary
Kaszopuszta - Szennyviztisztito Telep,46.320221,17.226662,720,3153.6,Hungary,Dél-Dunántúl,HU23,Hungary
Katymar - Szennyviztisztito Telep,46.046836,19.241169,5026,22013.88,Hungary,Dél-Alföld,HU33,Hungary
Kazincbarcika - Szennyviztisztito Telep,48.254389,20.647096,53800,235644.0,Hungary,Észak-Magyarország,HU31,Hungary
Kecel - Szennyviztisztito Telep,46.508123,19.292571,10333,45258.54,Hungary,Dél-Alföld,HU33,Hungary
Kecskemet - Szennyviztisztito Telep,46.892695,19.714354,240000,1051200.0,Hungary,Dél-Alföld,HU33,Hungary
Kehidakustany - Szennyviztisztito Telep,46.824831,17.10297,4900,21462.0,Hungary,Nyugat-Dunántúl,HU22,Hungary
Kelemer - Szennyviztisztito Telep,48.351586,20.421773,240,1051.2,Hungary,Észak-Magyarország,HU31,Hungary
Kemecse - Szennyviztisztito Telep,48.071198,21.783298,10433,45696.54,Hungary,Észak-Alföld,HU32,Hungary
Kemenesmihalyfa - Szennyviztisztito Telep,47.281408,17.123067,600,2628.0,Hungary,Nyugat-Dunántúl,HU22,Hungary
Kemenessomjen - Szennyviztisztito Telep,47.282714,17.15284,700,3066.0,Hungary,Közép-Dunántúl,HU21,Hungary
Kemenesszentmarton - Szennyviztisztito Telep,47.290717,17.166748,250,1095.0,Hungary,Közép-Dunántúl,HU21,Hungary
Kemenesszentpeter - Szennyviztisztito Telep,47.428987,17.234798,600,2628.0,Hungary,Nyugat-Dunántúl,HU22,Hungary
Kenderes - Szennyviztisztito Telep,47.26989,20.680525,4686,20524.68,Hungary,Észak-Alföld,HU32,Hungary
Kenezlo - Szennyviztisztito Telep,48.198234,21.549929,3045,13337.1,Hungary,Észak-Magyarország,HU31,Hungary
Kenyeri - Szennyviztisztito Telep,47.386548,17.083729,2950,12921.0,Hungary,Nyugat-Dunántúl,HU22,Hungary
Kerecsend - Szennyviztisztito Telep,47.784319,20.336361,3783,16569.54,Hungary,Észak-Magyarország,HU31,Hungary
Keszthely - Szennyviztisztito Telep,46.736854,17.236624,120890,529498.2,Hungary,Nyugat-Dunántúl,HU22,Hungary
Ketegyhaza - Szennyviztisztito Telep,46.547445,21.175184,3753,16438.14,Hungary,Dél-Alföld,HU33,Hungary
Kethely - Szennyviztisztito Telep,46.668548,17.407826,56327,246712.26,Hungary,Dél-Dunántúl,HU23,Hungary
Kincsesbanya - Szennyviztisztito Telep,47.28191,18.286594,4117,18032.46,Hungary,Közép-Dunántúl,HU21,Hungary
Kiralyegyhaza - Szennyviztisztito Telep,45.982945,17.9857,1868,8181.84,Hungary,Dél-Dunántúl,HU23,Hungary
Kiralyszentistvan - Szennyviztisztito Telep,47.10857,18.02885,4940,21637.2,Hungary,Közép-Dunántúl,HU21,Hungary
Kisbarkany - Szennyviztisztito Telep,48.011996,19.690133,200,876.0,Hungary,Észak-Magyarország,HU31,Hungary
Kisber - Szennyviztisztito Telep,47.50781,18.027921,8330,36485.4,Hungary,Közép-Dunántúl,HU21,Hungary
Kisber uj - Szennyviztisztito Telep,47.508256,18.027732,6153,26950.14,Hungary,Közép-Dunántúl,HU21,Hungary
Kisdobsza - Szennyviztisztito Telep,46.016342,17.662858,950,4161.0,Hungary,Dél-Dunántúl,HU23,Hungary
Kisdorog - Szennyviztisztito Telep,46.392253,18.505638,750,3285.0,Hungary,Dél-Dunántúl,HU23,Hungary
Kiskore - Szennyviztisztito Telep,47.489708,20.510445,13734,60154.92,Hungary,Észak-Alföld,HU32,Hungary
Kiskoros - Szennyviztisztito Telep,46.629918,19.271643,33500,146730.0,Hungary,Dél-Alföld,HU33,Hungary
Kiskunfelegyhaza - Szennyviztisztito Telep,46.710657,19.871216,49166,215347.08,Hungary,Dél-Alföld,HU33,Hungary
Kiskunhalas - Szennyviztisztito Telep,46.440124,19.511682,32032,140300.16,Hungary,Dél-Alföld,HU33,Hungary
Kiskunlachaza - Szennyviztisztito Telep,47.177305,19.025061,12000,52560.0,Hungary,Pest,HU12,Hungary
Kiskunmajsa - Szennyviztisztito Telep,46.491646,19.7613,9000,39420.0,Hungary,Dél-Alföld,HU33,Hungary
Kislang - Szennyviztisztito Telep,46.950054,18.370659,2700,11826.0,Hungary,Közép-Dunántúl,HU21,Hungary
Kisrecse - Szennyviztisztito Telep,46.496078,17.056984,199,871.62,Hungary,Nyugat-Dunántúl,HU22,Hungary
Kisszallas - Szennyviztisztito Telep,46.290327,19.490528,2325,10183.5,Hungary,Dél-Alföld,HU33,Hungary
Kistelek - Szennyviztisztito Telep,46.46032,19.977305,8470,37098.6,Hungary,Dél-Alföld,HU33,Hungary
Kisujszallas - Szennyviztisztito Telep,47.228873,20.746015,8515,37295.7,Hungary,Észak-Alföld,HU32,Hungary
Kisvarda - Szennyviztisztito Telep,48.223186,22.054702,70958,310796.04,Hungary,Észak-Alföld,HU32,Hungary
Kisvejke - Szennyviztisztito Telep,46.38196,18.42412,417,1826.46,Hungary,Dél-Dunántúl,HU23,Hungary
Klarafalva - Szennyviztisztito Telep,46.207017,20.323188,1950,8541.0,Hungary,Dél-Alföld,HU33,Hungary
Kocs - Szennyviztisztito Telep,47.614991,18.211342,2750,12045.0,Hungary,Közép-Dunántúl,HU21,Hungary
Kocsord - Szennyviztisztito Telep,47.949013,22.381998,2700,11826.0,Hungary,Észak-Alföld,HU32,Hungary
Kolcse - Szennyviztisztito Telep,48.070746,22.706265,2697,11812.86,Hungary,,,Hungary
Kolesd - Szennyviztisztito Telep,46.519547,18.590464,2339,10244.82,Hungary,Dél-Dunántúl,HU23,Hungary
Kolontar - Szennyviztisztito Telep,47.086898,17.47911,950,4161.0,Hungary,Közép-Dunántúl,HU21,Hungary
Komadi - Szennyviztisztito Telep,47.014207,21.470541,5667,24821.46,Hungary,Észak-Alföld,HU32,Hungary
Komarom - Szennyviztisztito Telep,47.736448,18.207336,57067,249953.46,Hungary,Közép-Dunántúl,HU21,Hungary
Komlo - Szennyviztisztito Telep,46.222156,18.237818,67500,295650.0,Hungary,Dél-Dunántúl,HU23,Hungary
Kondoros - Szennyviztisztito Telep,46.761838,20.775737,4794,20997.72,Hungary,Dél-Alföld,HU33,Hungary
Konyar - Szennyviztisztito Telep,47.314289,21.656071,2812,12316.56,Hungary,Észak-Alföld,HU32,Hungary
Kormend - Szennyviztisztito Telep,47.011379,16.624278,20000,87600.0,Hungary,Nyugat-Dunántúl,HU22,Hungary
Korom - Szennyviztisztito Telep,47.975773,20.960065,14925,65371.5,Hungary,Észak-Magyarország,HU31,Hungary
Korosladany - Szennyviztisztito Telep,46.953513,21.053641,5107,22368.66,Hungary,Dél-Alföld,HU33,Hungary
Korostarcsa - Szennyviztisztito Telep,46.894506,21.020618,2667,11681.46,Hungary,Dél-Alföld,HU33,Hungary
Kovacsvagas - Szennyviztisztito Telep,48.459498,21.531944,123,538.74,Hungary,Észak-Magyarország,HU31,Hungary
Koveskal - Szennyviztisztito Telep,46.879633,17.616796,1766,7735.08,Hungary,Közép-Dunántúl,HU21,Hungary
Kozard - Szennyviztisztito Telep,47.910913,19.615127,300,1314.0,Hungary,Észak-Magyarország,HU31,Hungary
Kozmadombja - Szennyviztisztito Telep,46.766001,16.563314,833,3648.54,Hungary,Nyugat-Dunántúl,HU22,Hungary
Krasznokvajda Szennyviztisztito Telep,48.468189,20.96537,600,2628.0,Hungary,Észak-Magyarország,HU31,Hungary
Kulsovat Szennyviztisztito Telep,47.301849,17.223712,800,3504.0,Hungary,Közép-Dunántúl,HU21,Hungary
Kunadacs - Szennyviztisztito Telep,46.961557,19.292795,1298,5685.24,Hungary,Dél-Alföld,HU33,Hungary
Kunagota - Szennyviztisztito Telep,46.445634,21.038926,5000,21900.0,Hungary,Dél-Alföld,HU33,Hungary
Kunfeherto - Szennyviztisztito Telep,46.366536,19.395081,4606,20174.28,Hungary,Dél-Alföld,HU33,Hungary
Kunmadaras - Szennyviztisztito Telep,47.431122,20.820786,8900,38982.0,Hungary,Észak-Alföld,HU32,Hungary
Kunpeszer - Szennyviztisztito Telep,47.053283,19.27405,870,3810.6,Hungary,Pest,HU12,Hungary
Kunszentmarton - Szennyviztisztito Telep,46.847208,20.303443,11000,48180.0,Hungary,Észak-Alföld,HU32,Hungary
Kunszentmiklos - Szennyviztisztito Telep,47.046943,19.114617,7250,31755.0,Hungary,Pest,HU12,Hungary
Kunsziget - Szennyviztisztito Telep,47.767418,17.47153,14600,63948.0,Hungary,Nyugat-Dunántúl,HU22,Hungary
Kup - Szennyviztisztito Telep,47.245114,17.464926,3000,13140.0,Hungary,Közép-Dunántúl,HU21,Hungary
Kupa - Szennyviztisztito Telep,48.330775,20.91505,100,438.0,Hungary,Észak-Magyarország,HU31,Hungary
