location,name,country,province,kg_n_per_year,students,country_code,name_en,kg_p_per_year
"50.11055556, 8.682222222",Sankt Georgen Graduate School of Philosophy and Theology,Germany,Darmstadt,322.1855,388,DE,Sankt Georgen Graduate School of Philosophy and Theology,32.21855
"53.9117, 27.595",Belarusian State University of Informatics and Radioelectronics,,,13286,16000,,Belarusian State University of Informatics and Radioelectronics,1328.6
"51.7304, 36.1945",South-West State University,,,9341.71875,11250,,South-West State University,934.171875
"46.07083333, 18.23305556",University of PÃ©cs,Hungary,Dél-Dunántúl,16607.5,20000,HU,University of Pécs,1660.75
"63.82845358, 20.27056646",UmeÃ¥ University,Sweden,Övre Norrland,21433.6395,25812,SE,Umeå University,2143.36395
"41.8533, 12.6026",Tor Vergata University of Rome,,,32148.7985,38716,,Tor Vergata University of Rome,3214.87985
"45.46694444, 9.19",University of Milan-Bicocca,Italy,Lombardia,28017.68288,33741,IT,University of Milan-Bicocca,2801.768288
"50.86666667, 5.683333333",Maastricht University,Netherlands,Limburg (NL),17508.45688,21085,NL,Maastricht University,1750.845688
"51.5236, -0.1519",Royal Academy of Music,,,606.17375,730,,Royal Academy of Music,60.617375
"51.59672, -3.33682",University of Glamorgan,,,17815.69563,21455,,University of Glamorgan,1781.569563
"55.8136, 37.7906",State University of Management,,,20759.375,25000,,State University of Management,2075.9375
"51.82722222, 107.6063889",Buryat State University,,,8303.75,10000,,Buryat State University,830.375
"64.1475, -21.935",Iceland University of the Arts,,,621.950875,749,,Iceland University of the Arts,62.1950875
"50.4648, 30.463",National University of Kyiv-Mohyla Academy,,,2659.691125,3203,,National University of Kyiv-Mohyla Academy,265.9691125
"49.9925, 36.23111111",Kharkiv Polytechnic Institute,,,16607.5,20000,,Kharkiv Polytechnic Institute,1660.75
"50.0844, 14.4413",Prague University of Economics and Business,Czechia,Praha,16143.32038,19441,CZ,Prague University of Economics and Business,1614.332038
"49.19527778, 16.60833333",Brno University of Technology,Czechia,Jihovýchod,14925.99063,17975,CZ,Brno University of Technology,1492.599063
"47.02277778, 28.83527778",Technical University of Moldova,,,7905.17,9520,,Technical University of Moldova,790.517
"46.76891, 23.59066",Iuliu HaÈieganu University of Medicine and Pharmacy,Romania,Nord-Vest,8660.81125,10430,RO,Iuliu Hațieganu University of Medicine and Pharmacy,866.081125
"43.24, 76.915",Narxoz University,,,5812.625,7000,,Narxoz University,581.2625
"54.57388889, -1.233333333",Teesside University,,,16017.93375,19290,,Teesside University,1601.793375
"55.7881, 37.7122",Moscow Polytechnic University,,,14965.01825,18022,,Moscow Polytechnic University,1496.501825
"55.7898, 37.7135",Moscow State University of Technology STANKIN,,,3321.5,4000,,Moscow State University of Technology STANKIN,332.15
"55.734, 37.6747",Russian Biotechnological University (BIOTECH),,,4650.1,5600,,Russian Biotechnological University (BIOTECH),465.01
"55.6729, 37.5564",Moscow State University of Fine Chemical Technologies,,,3736.6875,4500,,Moscow State University of Fine Chemical Technologies,373.66875
"51.7423, 36.191",Kursk State University,,,14116.375,17000,,Kursk State University,1411.6375
"51.67166667, 39.21055556",Voronezh State University of Engineering Technology,,,6809.075,8200,,Voronezh State University of Engineering Technology,680.9075
"53.3548, 83.7756",Altai State Technical University,,,16607.5,20000,,Altai State Technical University,1660.75
"51.96, 85.96",Gorno-Altaisk State University,,,3321.5,4000,,Gorno-Altaisk State University,332.15
"50.4385, 30.5132",Kyiv National University of Culture and Arts,,,20759.375,25000,,Kyiv National University of Culture and Arts,2075.9375
"48.73916667, 37.58388889",Donetsk National Medical University,,,4151.875,5000,,Donetsk National Medical University,415.1875
"48.4675, 35.04",Dnipro Institute of Infrastructure and Transport,,,3321.5,4000,,Dnipro Institute of Infrastructure and Transport,332.15
"42.425668, 25.634595",Trakia University,Bulgaria,Yugoiztochen,7473.375,9000,BG,Trakia University,747.3375
"55.7676, 37.6179",Moscow University for Industry and Finance,,,41518.75,50000,,Moscow University for Industry and Finance,4151.875
"55.6694, 37.5437",Moscow State Aviation Technological University,,,7888.5625,9500,,Moscow State Aviation Technological University,788.85625
"55.03333333, 82.91666667",Novosibirsk State Medical University,,,4871.810125,5867,,Novosibirsk State Medical University,487.1810125
"56.8286, 60.611",Russian State Vocational Pedagogical University,,,9964.5,12000,,Russian State Vocational Pedagogical University,996.45
"56.32694444, 44.0075",Dobrolyubov Linguistics University of Nizhny Novgorod,,,2615.68125,3150,,Dobrolyubov Linguistics University of Nizhny Novgorod,261.568125
"46.45336111, 30.75333333",Odesa National Polytechnic University,,,9791.782,11792,,Odesa National Polytechnic University,979.1782
"41.8927, 12.4685",John Cabot University,,,1037.96875,1250,,John Cabot University,103.796875
"37.50266944, 15.08726944",University of Catania,Italy,Sicilia,36817.16675,44338,IT,University of Catania,3681.716675
"43.31833333, 11.33138889",University of Siena,Italy,Toscana,16607.5,20000,IT,University of Siena,1660.75
