location,name,country,province,kg_n_per_year,capacity,country_code,name_en,kg_p_per_year
"50.5364, 14.1356",Q11878013,Czechia,Severozápad,595.0,358.0,CZ,Q11878013,59.4549
"49.7233, 13.3592",Plzeň prison,Czechia,Jihozápad,1767.0,1064.0,CZ,Plzeň prison,176.704
"55.1811, 8.8874",Renbæk Prison,Denmark,Syddanmark,266.0,160.0,DK,Renbæk Prison,26.572
"55.66175062, 12.53724563",Vestre Prison,Denmark,Hovedstaden,902.0,543.0,DK,Vestre Prison,90.1787
"54.495, -1.33972",HM Prison Kirklevington Grange,,,470.0,283.0,,HM Prison Kirklevington Grange,46.9992
"54.514, -6.186",HM Prison Maghaberry,,,1611.0,970.0,,HM Prison Maghaberry,161.093
"51.063, -1.328",HM Prison Winchester,,,1172.0,706.0,,HM Prison Winchester,117.249
"63.8601666, -21.1270096",Litla-Hraun,Iceland,Ísland,75.0,45.0,IS,Litla-Hraun,7.47337
"48.9715508, 14.4730617",Q8312165,Czechia,Jihozápad,480.0,289.0,CZ,Q8312165,47.9957
"41.623629, 0.608316",Centre Penitenciari de Ponent,Spain,Cataluña,1759.0,1059.0,ES,Centre Penitenciari de Ponent,175.873
"41.623369, 0.608128",Centre Obert de Ponent,Spain,Cataluña,233.0,140.0,ES,Centre Obert de Ponent,23.2505
"37.86130833, -3.770605555",Q39951849,Spain,Andalucía,747.0,450.0,ES,Q39951849,74.7338
"40.29142, -3.96054",Q72126985,Spain,Comunidad de Madrid,2491.0,1500.0,ES,Q72126985,249.113
"46.21416667, 6.222777777",Q96606833,Switzerland,Région lémanique,153.0,92.0,CH,Q96606833,15.2789
"46.21611111, 6.225",Q96606843,Switzerland,Région lémanique,111.0,67.0,CH,Q96606843,11.127
"46.21611111, 6.225",Q96606843,Switzerland,Région lémanique,277.0,167.0,CH,Q96606843,11.127
"47.0025, 7.563888888",Q96607827,Switzerland,Espace Mittelland,297.0,179.0,CH,Q96607827,29.7274
"46.53638889, 6.626388888",prison du Bois-Mermet,Switzerland,Région lémanique,166.0,100.0,CH,prison du Bois-Mermet,16.6075
"46.73472222, 6.565277777",Q96615513,Switzerland,Région lémanique,178.0,107.0,CH,Q96615513,17.77
"46.73472222, 6.565277777",Q96615513,Switzerland,Région lémanique,216.0,130.0,CH,Q96615513,17.77
"46.73472222, 6.565277777",Q96615513,Switzerland,Région lémanique,350.0,211.0,CH,Q96615513,17.77
"46.73361111, 6.550833333",prison complex Orbe,Switzerland,Région lémanique,415.0,250.0,CH,prison complex Orbe,41.5187
"46.73361111, 6.550833333",prison complex Orbe,Switzerland,Région lémanique,548.0,330.0,CH,prison complex Orbe,41.5187
"46.90138889, 6.777777777",Q96627841,Switzerland,Espace Mittelland,90.0,54.0,CH,Q96627841,8.96805
"46.90138889, 6.777777777",Q96627841,Switzerland,Espace Mittelland,108.0,65.0,CH,Q96627841,8.96805
"47.10055556, 6.833611111",Q96637410,Switzerland,Espace Mittelland,133.0,80.0,CH,Q96637410,13.286
"47.10055556, 6.833611111",Q96637410,Switzerland,Espace Mittelland,186.0,112.0,CH,Q96637410,13.286
"46.80277778, 7.165277777",Q96656920,Switzerland,Espace Mittelland,166.0,100.0,CH,Q96656920,16.6075
"47.37987847, 8.178303557",Prison Lenzburg,Switzerland,Nordwestschweiz,365.0,220.0,CH,Prison Lenzburg,36.5365
