WWTP name,Latitude,Longitude,Capacity (p.e),N kg/per year,country,province,nuts2_id,country_code,P kg/per year
TRIVENTO_LE_FONTANE,41.78238176,14.55678665,3474,15007.68,Italy,Molise,ITF2,Italy,2501.28
VINCHIATURO_LOC_FONTANAMMONTE,41.49622296,14.58667139,2306,9961.92,Italy,Molise,ITF2,Italy,1660.32
BONEFRO_LOC_CAPRIOLO,41.7052404,14.94184504,2754,11897.28,Italy,Molise,ITF2,Italy,1982.88
CASACALENDA_PIANO_DEI,41.73612306,14.85429981,4500,19440,Italy,Molise,ITF2,Italy,3240
CASTELMAURO_FONTICELLA,41.82914542,14.71808265,3250,14040,Italy,Molise,ITF2,Italy,2340
GUGLIONESI_FONTE_NUOVA,41.92109435,14.92379846,9000,38880,Italy,Molise,ITF2,Italy,6480
LARINO_FONTE_DI_BASSO,41.8050908,14.9065136,10083,43558.56,Italy,Molise,ITF2,Italy,7259.76
MONTENERO_CANNIVIERI,41.97341493,14.76308739,12000,51840,Italy,Molise,ITF2,Italy,8640
PALATA_CUPARIELLO,41.87867056,14.78512681,3009,12998.88,Italy,Molise,ITF2,Italy,2166.48
PETACCIATO_SCALO,42.03492011,14.84130214,9000,38880,Italy,Molise,ITF2,Italy,6480
PORTOCANNONE_BUCCARO,41.92575585,15.00693213,3000,12960,Italy,Molise,ITF2,Italy,2160
SANTA_CROCE_DI_M_FONTANA_VECCHIA,41.70584928,14.9932678,5900,25488,Italy,Molise,ITF2,Italy,4248
SANT_ELIA_A_P_PIANELLA,41.62454968,14.87863757,2800,12096,Italy,Molise,ITF2,Italy,2016
SAN_MARTINO_IN_P_LAUDADIO,41.87455795,15.02426781,5300,22896,Italy,Molise,ITF2,Italy,3816
URURI_SANTA_VENERE,41.82487981,15.01803754,3500,15120,Italy,Molise,ITF2,Italy,2520
BAGNOLI_DEL_TRIGNO_VALLONE_LA_TERRA,41.70962839,14.46353503,3195,13802.4,Italy,Molise,ITF2,Italy,2300.4
MACCHIAGODENA_CENTOMANI,41.52839481,14.4315775,4500,19440,Italy,Molise,ITF2,Italy,3240
MONTERODUNI_S_EUSANIO,41.52941584,14.14258709,2870,12398.4,Italy,Molise,ITF2,Italy,2066.4
VENAFRO_TENACCIO,41.47036871,14.04264534,14271,61650.72,Italy,Molise,ITF2,Italy,10275.12
ISERNIA_TAVERNA,41.58029046,14.21694196,34000,146880,Italy,Molise,ITF2,Italy,24480
AGNONE_FOSSATO_PISCIARIELLO,41.80336138,14.37021783,5500,23760,Italy,Molise,ITF2,Italy,3960
CAPRACOTTA,41.82663864,14.27171358,5093,22001.76,Italy,Molise,ITF2,Italy,3666.96
POZZILLI_GINESTRE,41.50359539,14.06404852,60900,263088,Italy,Molise,ITF2,Italy,43848
MONTENERO_COSTA,42.05607191,14.78478588,150000,648000,Italy,Molise,ITF2,Italy,108000
BOJANO_STROFFELLINI,41.4845784,14.48702122,10000,43200,Italy,Molise,ITF2,Italy,7200
CAMPOBASSO_SAN_PIETRO_6A,41.58281433,14.63389292,50000,216000,Italy,Molise,ITF2,Italy,36000
CAMPOBASSO1_SCARAFONE,41.53876902,14.69315262,40000,172800,Italy,Molise,ITF2,Italy,28800
BAZZANO,42.33243743,13.45321871,10000,43200,Italy,Abruzzo,ITF1,Italy,7200
CAGNANO AMITERNO,42.46279495,13.2351169,4200,18144,Italy,Abruzzo,ITF1,Italy,3024
PONTE ROSAROLO,42.33864618,13.39392907,48500,209520,Italy,Abruzzo,ITF1,Italy,34920
PILE,42.35105377,13.37008637,48000,207360,Italy,Abruzzo,ITF1,Italy,34560
MARANA,42.48673177,13.23252081,10000,43200,Italy,Abruzzo,ITF1,Italy,7200
FOSSA SAN LORENZO,42.29360548,13.49416626,12500,54000,Italy,Abruzzo,ITF1,Italy,9000
BAZZANO INDUSTRIALE-ONNA,42.3261722,13.47428333,2000,8640,Italy,Abruzzo,ITF1,Italy,1440
BAGNO-PIANOLA,42.32043086,13.43366151,8100,34992,Italy,Abruzzo,ITF1,Italy,5832
BARETE-PIZZOLI,42.42396244,13.29814523,10000,43200,Italy,Abruzzo,ITF1,Italy,7200
ROCCA DI MEZZO,42.21579,13.52813959,7000,30240,Italy,Abruzzo,ITF1,Italy,5040
SAN DEMETRIO NE' VESTINI,42.29251862,13.53727419,2500,10800,Italy,Abruzzo,ITF1,Italy,1800
SASSA-SCOPPITO,42.362961,13.324019,20000,86400,Italy,Abruzzo,ITF1,Italy,14400
Balsorano_capoluogo,41.8071612,13.55537247,4000,17280,Italy,Abruzzo,ITF1,Italy,2880
Cappadocia_capoluogo,42.00649236,13.28870045,10000,43200,Italy,Abruzzo,ITF1,Italy,7200
Carsoli_capoluogo,42.09057882,13.07509785,8000,34560,Italy,Abruzzo,ITF1,Italy,5760
Cerchio_Capoluogo,42.0529563,13.60078498,2280,9849.6,Italy,Abruzzo,ITF1,Italy,1641.6
Collelongo_capoluogo,41.89342891,13.57712652,2500,10800,Italy,Abruzzo,ITF1,Italy,1800
Depuratore_Consorzio_Industriale,42.00885,13.45614167,46278,199920.96,Italy,Abruzzo,ITF1,Italy,33320.16
Foce,42.07087564,13.54945795,10000,43200,Italy,Abruzzo,ITF1,Italy,7200
Gioia-Lecce-Ortucchio,41.95577767,13.65572224,10000,43200,Italy,Abruzzo,ITF1,Italy,7200
Luco_dei_marsi_capoluogo,41.9652937,13.47333947,5500,23760,Italy,Abruzzo,ITF1,Italy,3960
Magliano_capoluogo,42.08876501,13.35447129,9000,38880,Italy,Abruzzo,ITF1,Italy,6480
Paterno,42.05010409,13.48559131,2000,8640,Italy,Abruzzo,ITF1,Italy,1440
Pescina_capoluogo,42.02149457,13.6367647,6000,25920,Italy,Abruzzo,ITF1,Italy,4320
Pozzillo,42.02421665,13.43843909,17500,75600,Italy,Abruzzo,ITF1,Italy,12600
Rio_pago,42.07265347,13.5235449,10700,46224,Italy,Abruzzo,ITF1,Italy,7704
S_Benedetto_dei_marsi,42.00292205,13.61316807,5000,21600,Italy,Abruzzo,ITF1,Italy,3600
S_Giovanni,42.05181867,13.58001511,7800,33696,Italy,Abruzzo,ITF1,Italy,5616
Santa_Barbara,41.97907344,13.40327182,2000,8640,Italy,Abruzzo,ITF1,Italy,1440
Scurcola_marsicana_capoluogo,42.06719388,13.34759454,3000,12960,Italy,Abruzzo,ITF1,Italy,2160
Strada_36,41.96609313,13.53711009,10000,43200,Italy,Abruzzo,ITF1,Italy,7200
Strada38,41.9646376,13.52501818,1000,4320,Italy,Abruzzo,ITF1,Italy,720
Tagliacozzo_capoluogo,42.06811286,13.26525127,13800,59616,Italy,Abruzzo,ITF1,Italy,9936
BAGNATURO FRAZIONE DI PRATOLA PELIGNA,42.09711048,13.90418425,5000,21600,Italy,Abruzzo,ITF1,Italy,3600
CAMPO DI GIOVE EST-S.ANTONINO,42.01470914,14.04423537,5000,21600,Italy,Abruzzo,ITF1,Italy,3600
CAMPO DI GIOVE OVEST- VALLE DI CANNA,42.01145801,14.02595935,3200,13824,Italy,Abruzzo,ITF1,Italy,2304
CASTEL DI SANGRO,41.83692315,14.09051155,20000,86400,Italy,Abruzzo,ITF1,Italy,14400
CASTELVECCHIO SUBEQUO,42.13518208,13.73422365,2500,10800,Italy,Abruzzo,ITF1,Italy,1800
CONSORZIO AMBIENTE- CORFINIO,42.13692073,13.83854612,28000,120960,Italy,Abruzzo,ITF1,Italy,20160
DEP. DI PESCOCOSTANZO,41.89302698,14.09171886,2500,10800,Italy,Abruzzo,ITF1,Italy,1800
PESCASSEROLI,41.79682628,13.79184778,11200,48384,Italy,Abruzzo,ITF1,Italy,8064
PONTE LA TORRE,42.06040531,13.89434155,3500,15120,Italy,Abruzzo,ITF1,Italy,2520
RAIANO,42.10588741,13.81529176,2000,8640,Italy,Abruzzo,ITF1,Italy,1440
ROCCARASO- RIVISONDOLI,41.79832588,14.11387921,25000,108000,Italy,Molise,ITF2,Italy,18000
SCANNO,41.90701597,13.88360241,8000,34560,Italy,Abruzzo,ITF1,Italy,5760
VILLALAGO,41.93847668,13.83751059,4500,19440,Italy,Abruzzo,ITF1,Italy,3240
IMP. DI DEPURAZIONE CONSORTILE - S. RUFINA,42.07619377,13.89684483,35000,151200,Italy,Abruzzo,ITF1,Italy,25200
ALANNO SANT'AGATA,42.3028963,13.96959605,1800,7776,Italy,Abruzzo,ITF1,Italy,1296
ALANNO SCALO,42.29038116,14.02359355,2500,10800,Italy,Abruzzo,ITF1,Italy,1800
BUCCERI,42.39808215,14.1553803,3500,15120,Italy,Abruzzo,ITF1,Italy,2520
CAPOLUOGO CREPACCE,42.25244032,14.18218062,2100,9072,Italy,Abruzzo,ITF1,Italy,1512
CAPOLUOGO GIARDINO,42.25244032,14.18218062,2500,10800,Italy,Abruzzo,ITF1,Italy,1800
CARAMANICO CAPOLUOGO,42.25244032,14.18218062,4000,17280,Italy,Abruzzo,ITF1,Italy,2880
CASTELFERRATO,42.38071657,14.22436905,1500,6480,Italy,Abruzzo,ITF1,Italy,1080
CASTELLUCCIO,42.45181869,14.06050396,3000,12960,Italy,Abruzzo,ITF1,Italy,2160
CENTRO STORICO,42.43103031,13.98655702,4000,17280,Italy,Abruzzo,ITF1,Italy,2880
CEPPETO,42.22670894,13.9319414,3500,15120,Italy,Abruzzo,ITF1,Italy,2520
COLLECORVINO CASEBRUCIATE,42.43839042,14.04538463,1500,6480,Italy,Abruzzo,ITF1,Italy,1080
CONAROTTA,42.56483623,14.01494825,1500,6480,Italy,Abruzzo,ITF1,Italy,1080
CROCEFISSO,42.58286418,13.99328904,6500,28080,Italy,Abruzzo,ITF1,Italy,4680
FORO,42.40069251,14.31330396,38000,164160,Italy,Abruzzo,ITF1,Italy,27360
FOSSO DEL LUPO,42.3739946,14.0866975,3750,16200,Italy,Abruzzo,ITF1,Italy,2700
FOSSO GAUTERIO,42.24626631,14.03248123,3230,13953.6,Italy,Abruzzo,ITF1,Italy,2325.6
FRANCOLI,42.2238889,13.905,700,3024,Italy,Abruzzo,ITF1,Italy,504
FRONTINO,42.305582,14.19693406,2500,10800,Italy,Abruzzo,ITF1,Italy,1800
LUCINA,42.21853222,14.19384415,2500,10800,Italy,Abruzzo,ITF1,Italy,1800
MANOPPELLO CAPOLUOGO - SCALO - RIPA CORBARA,42.31195488,14.05132324,8000,34560,Italy,Abruzzo,ITF1,Italy,5760
Montesilvano ex CONSIDAN,42.50088003,14.12145627,134000,578880,Italy,Abruzzo,ITF1,Italy,96480
NORTOLI,42.44118388,13.91689653,9000,38880,Italy,Abruzzo,ITF1,Italy,6480
PALUMBO,42.36900832,14.1253056,3500,15120,Italy,Abruzzo,ITF1,Italy,2520
PANICE,42.57737,13.97500379,2000,8640,Italy,Abruzzo,ITF1,Italy,1440
PATERNO (CAPPUCCINI),42.42561927,13.98228305,2650,11448,Italy,Abruzzo,ITF1,Italy,1908
PESCARA VIA RAIALE,42.44493442,14.19184266,180000,777600,Italy,Abruzzo,ITF1,Italy,129600
PIANELLA CAPOLUOGO,42.39262826,14.04928867,5000,21600,Italy,Abruzzo,ITF1,Italy,3600
PIANELLA CASTELLANA,42.39730359,14.12164684,2000,8640,Italy,Abruzzo,ITF1,Italy,1440
PIANELLA FONTANOLI,42.4072222,14.04361111,1200,5184,Italy,Abruzzo,ITF1,Italy,864
PIANELLA QUERCIA DELL'OMPISIO,42.4027777,14.0769444,1200,5184,Italy,Abruzzo,ITF1,Italy,864
PLANOIANNI,42.45917631,13.93676954,600,2592,Italy,Abruzzo,ITF1,Italy,432
POPOLI,42.16874486,13.83154314,7500,32400,Italy,Abruzzo,ITF1,Italy,5400
PRETARO,42.43984891,14.24845075,38000,164160,Italy,Abruzzo,ITF1,Italy,27360
SANT'EUFEMIA,42.23775881,14.18131414,500,2160,Italy,Abruzzo,ITF1,Italy,360
STRADA PROV. PER ALANNO,42.2678254,14.00755441,4000,17280,Italy,Abruzzo,ITF1,Italy,2880
TERRAROSSA,42.48323572,14.09958603,5000,21600,Italy,Abruzzo,ITF1,Italy,3600
Torre dei Passeri CAPOLUOGO,42.24825217,13.94255695,7000,30240,Italy,Abruzzo,ITF1,Italy,5040
TORREMONTANARA,42.40860848,14.26223166,2000,8640,Italy,Abruzzo,ITF1,Italy,1440
TRIBUNO,42.38605997,14.31786614,9000,38880,Italy,Abruzzo,ITF1,Italy,6480
VALLE DELL'INFERNO,42.38895989,14.21623916,800,3456,Italy,Abruzzo,ITF1,Italy,576
VALLE SCURA,42.5706779,14.09038108,4000,17280,Italy,Abruzzo,ITF1,Italy,2880
VENTIGNANO,42.35253561,14.06482092,2500,10800,Italy,Abruzzo,ITF1,Italy,1800
VIA AIA,42.38034,14.23227,50,216,Italy,Abruzzo,ITF1,Italy,36
San Martino,42.38320167,14.14519,114500,494640,Italy,Abruzzo,ITF1,Italy,82440
Valle Para,42.2149,14.1321,20000,86400,Italy,Abruzzo,ITF1,Italy,14400
Buonconsiglio,42.1956,14.1107,40000,172800,Italy,Abruzzo,ITF1,Italy,28800
Alba Adriatica Casa Santa,42.82746557,13.90093785,93000,401760,Italy,Abruzzo,ITF1,Italy,66960
BASCIANO SALARA,42.612807,13.746125,4000,17280,Italy,Abruzzo,ITF1,Italy,2880
BELLANTE STAZIONE,42.702321,13.850036,4500,19440,Italy,Abruzzo,ITF1,Italy,3240
Montorio Zona Artigianale,42.58068453,13.66213139,300,1296,Italy,Abruzzo,ITF1,Italy,216
CAMPLI FLORIANO,42.773128,13.764638,4000,17280,Italy,Abruzzo,ITF1,Italy,2880
CAMPLI MORGE,42.732231,13.704682,4000,17280,Italy,Abruzzo,ITF1,Italy,2880
CASTELLALTO VILLA PARENTE,42.621591,13.861354,8500,36720,Italy,Abruzzo,ITF1,Italy,6120
CORROPOLI Z.I.,42.813585,13.863745,5000,21600,Italy,Abruzzo,ITF1,Italy,3600
GIULIANOVA VILLA POZZONI,42.72931,13.96197,89000,384480,Italy,Abruzzo,ITF1,Italy,64080
ISOLA DEL GRAN  SASSO CAPOLUOGO – PACCIANO,42.51271,13.6645,4000,17280,Italy,Abruzzo,ITF1,Italy,2880
MONTORIO CAPOLUOGO,42.582754,13.646244,9000,38880,Italy,Abruzzo,ITF1,Italy,6480
Morro D'Oro Pagliare,42.64078842,13.96082672,3000,12960,Italy,Abruzzo,ITF1,Italy,2160
MOSCIANO COSTA DEL MONTE,42.736689,13.886875,4000,17280,Italy,Abruzzo,ITF1,Italy,2880
MOSCIANO RIPOLI,42.728277,13.903997,8500,36720,Italy,Abruzzo,ITF1,Italy,6120
MOSCIANO STAZIONE,42.705523,13.911492,4000,17280,Italy,Abruzzo,ITF1,Italy,2880
NERETO CAPOLUOGO,42.808533,13.825188,7500,32400,Italy,Abruzzo,ITF1,Italy,5400
Notaresco Capoluogo,42.65615276,13.89926192,1000,4320,Italy,Abruzzo,ITF1,Italy,720
Notaresco Zona Ind.Le Fontanelle,42.62613182,13.91467016,9000,38880,Italy,Abruzzo,ITF1,Italy,6480
PINETO SCERNE,42.646283,14.026317,90000,388800,Italy,Abruzzo,ITF1,Italy,64800
S. EGIDIO CAPOLUOGO,42.822461,13.72788,4700,20304,Italy,Abruzzo,ITF1,Italy,3384
S. EGIDIO VILLA MARCHETTI,42.810947,13.750997,8000,34560,Italy,Abruzzo,ITF1,Italy,5760
S. OMERO CAPOLUOGO,42.797615,13.803596,6000,25920,Italy,Abruzzo,ITF1,Italy,4320
TERAMO S. ATTO,42.702052,13.824457,23000,99360,Italy,Abruzzo,ITF1,Italy,16560
TERAMO VILLA PAVONE,42.675709,13.746554,50000,216000,Italy,Abruzzo,ITF1,Italy,36000
Tortoreto Salino,42.78241727,13.93227614,62000,267840,Italy,Abruzzo,ITF1,Italy,44640
ABRUZZINI,42.30723682,14.40907552,2500,10800,Italy,Abruzzo,ITF1,Italy,1800
ANELLO,42.21056838,14.21334928,1500,6480,Italy,Abruzzo,ITF1,Italy,1080
CAMPOTRINO,42.2203429,14.21509971,2000,8640,Italy,Abruzzo,ITF1,Italy,1440
CASOLI,42.12130773,14.32653504,12200,52704,Italy,Abruzzo,ITF1,Italy,8784
CASTIGLIONE MESSER MARINO,41.86444587,14.44872288,3000,12960,Italy,Abruzzo,ITF1,Italy,2160
CERMEGNA,42.03623982,14.41814123,1300,5616,Italy,Abruzzo,ITF1,Italy,936
COTEALTO,42.11061997,14.57408934,4000,17280,Italy,Abruzzo,ITF1,Italy,2880
CROCETTA,42.0792316,14.68042758,7000,30240,Italy,Abruzzo,ITF1,Italy,5040
FONTE TITTA,42.04168716,14.41769417,1300,5616,Italy,Abruzzo,ITF1,Italy,936
