WWTP name,Latitude,Longitude,Capacity (p.e),N kg/per year,country,province,nuts2_id,country_code
Grupowa Oczyszczalnia Ścieków Sp. z o.o.,52.2057,19.411,337759,1479384.42,Poland,Łódzkie,PL71,Poland
Oczyszczalnia Ścieków w Tomaszowie Mazowieckim,51.5389,20.0511,120000,525600.0,Poland,Łódzkie,PL71,Poland
Miejska Oczyszczalnia Ścieków w Łowiczu,52.105,19.9736,97500,427050.0,Poland,Łódzkie,PL71,Poland
Oczyszczalnia Ścieków w Radomsku,51.0483,19.4221,94493,413879.34,Poland,Łódzkie,PL71,Poland
Bełchatów,51.3482,19.3944,99667,436541.46,Poland,Łódzkie,PL71,Poland
Tymienice,51.6128,18.9172,85519,374573.22,Poland,Łódzkie,PL71,Poland
Michowice,51.82253,20.09951,5266,23065.08,Poland,Łódzkie,PL71,Poland
Komunalna Oczyszczalnia Ścieków dla miasta Skierniewice,51.9773,20.1146,143134,626926.92,Poland,Łódzkie,PL71,Poland
Oczyszczalnia Ścieków w Zgierzu,51.8489,19.3859,197800,866364.0,Poland,Łódzkie,PL71,Poland
Łask,51.59301,19.11133,57334,251122.92,Poland,Łódzkie,PL71,Poland
Opoczno,51.3825,20.3064,35000,153300.0,Poland,Łódzkie,PL71,Poland
Oczyszczalnia Ścieków w Cedrowicach,51.9822,19.2802,18630,81599.4,Poland,Łódzkie,PL71,Poland
Ruda Bugaj,51.8371,19.2744,30200,132276.0,Poland,Łódzkie,PL71,Poland
Oczyszczalnia Brzeziny,51.49,19.45,31008,135815.04,Poland,Łódzkie,PL71,Poland
Poddębice,51.5418,18.5693,14875,65152.5,Poland,Łódzkie,PL71,Poland
Oczyszczalnia Ścieków w Woli Krzysztoporskiej,51.3399,19.5748,13070,57246.6,Poland,Łódzkie,PL71,Poland
Oczyszczalnia Ścieków w Łęczycy przy ulicy K. Odnowiciela,52.344,19.1226,27000,118260.0,Poland,Łódzkie,PL71,Poland
Gminna Oczyszczalnia Ścieków w Kraszewie,51.7157,19.6622,12667,55481.46,Poland,Łódzkie,PL71,Poland
Warta,51.7168,18.6313,10840,47479.2,Poland,Łódzkie,PL71,Poland
Oczyszczalnia Ścieków w Żydomicach,51.7897,20.2699,75833,332148.54,Poland,Łódzkie,PL71,Poland
"Miejska Oczyszczalnia Ścieków, ul. Piaskowa 39, 95-015 Głowno",51.9734,19.7085,13334,58402.92,Poland,Łódzkie,PL71,Poland
Pawlikowice,52.247,19.1901,9999,43795.62,Poland,Łódzkie,PL71,Poland
Borysławice,51.3933,18.2542,6380,27944.4,Poland,Wielkopolskie,PL41,Poland
Oczyszczalnia Ścieków w Zelowie,51.2728,19.12494,8710,38149.8,Poland,Łódzkie,PL71,Poland
Działoszyn,51.1107,18.8666,22632,99128.16,Poland,Łódzkie,PL71,Poland
Trębaczew,51.1181,18.9029,4800,21024.0,Poland,Łódzkie,PL71,Poland
Oczyszczalnia Ścieków w Wieruszowie,51.3053,18.1528,33854,148280.52,Poland,Wielkopolskie,PL41,Poland
Miejska Oczyszczalnia Ścieków,51.7286,19.8427,27365,119858.7,Poland,Łódzkie,PL71,Poland
Żychlin,52.2394,19.6335,12616,55258.08,Poland,Łódzkie,PL71,Poland
Moszczenica,51.4995,19.7194,13000,56940.0,Poland,Łódzkie,PL71,Poland
Miejska Oczyszczalnia Ścieków w Sulejowie,51.3581,19.85323,18000,78840.0,Poland,Łódzkie,PL71,Poland
Oczyszczalnia Ścieków w Drzewicy,51.45075,20.49319,7430,32543.4,Poland,Mazowiecki regionalny,PL92,Poland
Tuszyn,51.6148,19.556,9073,39739.74,Poland,Łódzkie,PL71,Poland
Oczyszczalnia Wartkowice,51.97667,19.01111,4900,21462.0,Poland,Łódzkie,PL71,Poland
Oczyszczalnia Ścieków w Gorzkowicach ZBW- BOS- BG,51.22782,19.62478,3610,15811.8,Poland,Łódzkie,PL71,Poland
Stryków,51.90526,19.58463,10460,45814.8,Poland,Łódzkie,PL71,Poland
OŚ Psary Stare,51.49539,19.7582,1200,5256.0,Poland,Łódzkie,PL71,Poland
OŚ Żarnowica,51.4674,19.87266,3500,15330.0,Poland,Łódzkie,PL71,Poland
Przedbórz,51.0906,19.8742,4700,20586.0,Poland,Łódzkie,PL71,Poland
Gminna Oczyszczalnia Ścieków w Rzgowie,51.6663,19.4721,9999,43795.62,Poland,Łódzkie,PL71,Poland
Miejska Oczyszczalnia Ścieków,51.14839,18.97351,13279,58162.02,Poland,Łódzkie,PL71,Poland
